rtl2.de,commercial broadcaster,
abendblatt.de,quality newspapers/magazines,
blick.ch,tabloid newspaper ,
news64.net,online only media ,
hr-fernsehen.de,public broadcaster,
kieler-nachrichten.de,quality newspapers/magazines,
vox.de,commercial broadcaster,
blick.de,tabloid newspaper ,
3sat.de,Public broadcaster,
swp.de,Quality newspapers/magazines,
wdr2.de,Public broadcaster,
prosieben.at,Commercial broadcaster,
insuedthueringen.de,Quality newspapers/magazines,
phoenix.de,Public broadcaster,
augsburger-allgemeine.de,Quality newspapers/magazines,
elpais.com,Quality newspapers/magazines,
taz.de,Quality newspapers/magazines,oogl
saechsische.de,Quality newspapers/magazines,
ard-text.de,Public broadcaster,
prosieben.de,Commercial broadcaster,
rtl.de,Commercial broadcaster,
sat1.de,Commercial broadcaster,
arte.tv,Public broadcaster,
swr3.de,Public broadcaster,
ardmediathek.de,Public broadcaster,
daserste.de,Public broadcaster,
bild.de,Tabloid newspaper ,
spiegel.de,Quality newspapers/magazines,
zdf.de,Public broadcaster,
focus.de,Quality newspapers/magazines,
cosmopolitan.de,,
welt.de,Quality newspapers/magazines,
computerbild.de,,
news-und-nachrichten.de,Online only media ,
kicker.de,,
express.de,Tabloid newspaper ,
mz-web.de,Quality newspapers/magazines,
n-tv.de,Commercial broadcaster,
zeit.de,Quality newspapers/magazines,
stern.de,Quality newspapers/magazines,
weltbild.de,,
tagesschau.de,Public broadcaster,
faz.net,Quality newspapers/magazines,
sueddeutsche.de,Quality newspapers/magazines,
gala.de,,
tz.de,Tabloid newspaper ,
liebenswert-magazin.de,,
wdr.de,Public broadcaster,
finanzen.net,online only media ,
derwesten.de,Online only media ,
brigitte.de,,
ard.de,Public broadcaster,
tag24.de,Online only media ,
tvinfo.de,,
ukr.net,,
mopo.de,Tabloid newspaper ,
rp-online.de,Quality newspapers/magazines,
webfail.com,,
tagesspiegel.de,Quality newspapers/magazines,
dailymail.co.uk,Tabloid newspaper ,
ka-news.de,Quality newspapers/magazines,
glamour.de,,
businessinsider.de,online only media ,
berliner-kurier.de,Tabloid newspaper ,
meteoblue.com,,
br.de,Public broadcaster,
ndr.de,Public broadcaster,
mdr.de,Public broadcaster,
berliner-zeitung.de,Quality newspapers/magazines,
kickstarter.com,,
presseportal.de,online only media ,
pi-news.net,A/P,
handelsblatt.com,Quality newspapers/magazines,
abendzeitung-muenchen.de,Tabloid newspaper ,
bz-berlin.de,Tabloid newspaper ,
morgenpost.de,Quality newspapers/magazines,
huffingtonpost.de,Tabloid newspaper ,
promiflash.de,,
grazia-magazin.de,,
waz.de,Quality newspapers/magazines,
ksta.de,Quality newspapers/magazines,
news.de,online only media ,
krone.at,Tabloid newspaper ,
bbc.com,public broadcaster,
watson.de,online only media ,
feedly.com,,
op-online.de,Quality newspapers/magazines,
dewezet.de,Quality newspapers/magazines,
swr.de,Public broadcaster,
rtve.es,public broadcaster,
hessenschau.de,Public broadcaster,
merkur.de,Quality newspapers/magazines,
orf.at,public broadcaster,
schwaebische.de,Quality newspapers/magazines,
jolie.de,,
bento.de,online only media ,
cnn.com,commercial broadcaster,
niederschlagsradar.de,,
badische-zeitung.de,Quality newspapers/magazines,
genussmaenner.de,,
stol.it,,
volksstimme.de,Quality newspapers/magazines,
freiepresse.de,Quality newspapers/magazines,
infranken.de,Quality newspapers/magazines,
rosenheim24.de,online only media ,
lvz.de,Quality newspapers/magazines,
areamobile.de,,
allmystery.de,,
arcamax.com,online only media ,
kn-online.de,Quality newspapers/magazines,
bbc.co.uk,public broadcaster,
vrbank-coburg.de,,
hna.de,Quality newspapers/magazines,
vice.com,online only media ,
campact.de,A/P,
wiwo.de,Quality newspapers/magazines,
queer.de,,
fr.de,Quality newspapers/magazines,
elle.de,,
stuttgarter-nachrichten.de,Quality newspapers/magazines,
dwd.de,,
fool.de,,
der-postillon.com,,
radio-mk.de,commercial broadcaster,
osthessen-news.de,Online only media ,
kreiszeitung.de,Online only media ,
allaboutsamsung.de,,
shz.de,Quality newspapers/magazines,
tichyseinblick.de,A/P,
deutschlandradio.de,Public broadcaster,
nzz.ch,Quality newspapers/magazines,
startfenster.de,,
morgenweb.de,Quality newspapers/magazines,
thisisinsider.com,,
maz-online.de,Quality newspapers/magazines,
t3n.de,,
wzonline.de,Quality newspapers/magazines,
wahlrecht.de,Political org/party/NGO,
yandex.net,,
ok-magazin.de,,
epochtimes.de,A/P,
noz.de,Quality newspapers/magazines,
stimme.de,Quality newspapers/magazines,
wp.pl,,
geo.de,,
main-echo.de,Quality newspapers/magazines,
gartenjournal.net,,
suedkurier.de,Quality newspapers/magazines,
fnp.de,Quality newspapers/magazines,
neues-deutschland.de,Quality newspapers/magazines,
windowsarea.de,,
nytimes.com,Quality newspapers/magazines,
4pda.ru,,
achgut.com,A/P,
airliners.de,,
manager-magazin.de,Quality newspapers/magazines,
winknews.com,,
pz-news.de,Quality newspapers/magazines,
rambler.ru,,
haz.de,Quality newspapers/magazines,
mittelbayerische.de,Quality newspapers/magazines,
bravo.de,,
giessener-allgemeine.de,Quality newspapers/magazines,
politikversagen.net,A/P,
wa.de,Quality newspapers/magazines,
rt.com,A/P,
tageblatt.de,Quality newspapers/magazines,
pnp.de,Quality newspapers/magazines,
china-gadgets.de,,
trophies.de,,
donaukurier.de,Quality newspapers/magazines,
dw.com,Public broadcaster,
gismeteo.ru,,
cicero.de,Quality newspapers/magazines,
win7gadgets.com,,
hertener-allgemeine.de,Quality newspapers/magazines,
samsung.de,,
ln-online.de,Quality newspapers/magazines,
nw.de,Quality newspapers/magazines,
24chasa.bg,,
kavaj.de,,
diepresse.com,Quality newspapers/magazines,
hiphopdx.com,,
indiatimes.com,,
refcrime.info,A/P,
dnn.de,Quality newspapers/magazines,
dpa-news.de,Online only media ,
theguardian.com,Quality newspapers/magazines,
cameroon-info.net,,
rasenfunk.de,,
moviebreak.de,,
thueringer-allgemeine.de,Quality newspapers/magazines,
yr.no,,
uniscene.de,,
radiohochstift.de,Commercial broadcaster,
rockstargames.com,,
sputniknews.com,A/P,
20min.ch,Quality newspapers/magazines,
oe24.at,,
ppy.sh,,
informunity.de,,
rnz.de,Quality newspapers/magazines,
meedia.de,,
noz-cdn.de,,
techstage.de,,
redd.it,,
tvguide.com,,
rollingstone.de,,
spiegel.tv,Commercial broadcaster,
gamespot.com,,
volksbank-vogtland.de,,
nwzonline.de,Quality newspapers/magazines,
heidelberg24.de,Tabloid newspaper ,
featvre.com,,
huffingtonpost.com,Online only media ,
worldstarhiphop.com,,
euronews.com,Commercial broadcaster,
kleinezeitung.at,Quality newspapers/magazines,
nerdsheaven.de,,
nordkurier.de,Quality newspapers/magazines,
azcentral.com,,
ostsee-zeitung.de,Quality newspapers/magazines,
gamenewz.de,,
android.com,,
denik.cz,,
windfinder.com,,
hallo-muenchen.de,Tabloid newspaper ,
magclub.de,,
turn-on.de,,
bkz-online.de,Quality newspapers/magazines,
newyorker.com,Quality newspapers/magazines,
reuters.com,Online only media ,
rollingstone.com,,
media-review.de,,
moz.de,Quality newspapers/magazines,
otstv.ru,,
huffpost.com,Online only media ,
adis.ws,,
stitcher.com,,
lenta.ru,,
rundschau-online.de,Quality newspapers/magazines,
ruhrnachrichten.de,Quality newspapers/magazines,
warframe.com,,
srf.ch,public broadcaster,
bundesliga-streams.net,,
cbsi.com,,
forbes.com,Quality newspapers/magazines,
news.at,tabloid newspaper ,
saarbruecker-zeitung.de,Quality newspapers/magazines,
myheimat.de,,
tvinfo.net,,
kreis-unna.de,,
insuedthueringen.de,Quality newspapers/magazines,
sn.at,Quality newspapers/magazines,
kgd.ru,,
paok24.com,,
androidauthority.com,,
extratipp.com,Tabloid newspaper ,
asbexpress.com,,
boltwise-gadgets.de,,
watson.ch,Online only media ,
come-on.de,,
highwaynews.de,,
like-online.de,,
news38.de,Tabloid newspaper ,
mirror.co.uk,Tabloid newspaper ,
volksbank-backnang.de,,
hackinformer.com,,
playfront.de,,
cosmopolitan.com,,
independent.co.uk,Quality newspapers/magazines,
washingtonpost.com,Quality newspapers/magazines,
gadget-rausch.de,,
metro.co.uk,tabloid newspaper ,
rnf.de,Commercial broadcaster,
koelner.de,,
az-online.de,Quality newspapers/magazines,
game2gether.de,,
blaulichtmyk.de,,
tz-online.de,Tabloid newspaper ,
heute.at,tabloid newspaper ,
bo.de,Quality newspapers/magazines,
telegraph.co.uk,quality newspapers/magazines,
hr-online.de,Public broadcaster,
usp-forum.de,,
watergate.tv,A/P,
7daystodie.com,,
musictechfest.net,,
aachener-zeitung.de,Quality newspapers/magazines,
bustle.com,,
jungefreiheit.de,A/P,
tarnkappe.info,,
bazonline.ch,,
ridus.ru,,
hr3.de,Public broadcaster,
twinfinite.net,,
innsalzach24.de,Online only media ,
nasa.gov,,
noizz.de,,
spickipedia.com,,
pharmazeutische-zeitung.de,,
karupsha.com,,
ngs.ru,,
wuv.de,,
gamesports.net,,
ps4-magazin.de,,
bergedorfer-zeitung.de,Quality newspapers/magazines,
express.co.uk,tabloid newspaper ,
windy.com,,
karupsow.com,,
blic.rs,,
deviantart.net,,
gsmarena.com,,
neopresse.com,A/P,
inpaok.com,,
n8waechter.info,A/P,
bgland24.de,Online only media ,
nordkind.blog,,
windowscentral.com,,
newsbreak24.de,Online only media ,
rtl.lu,,
washingtonpress.com,A/P,
gamesaktuell.de,,
meteofrance.com,,
polizei.nrw,,
videogameszone.de,,
rhein-zeitung.de,Quality newspapers/magazines,
sz-online.de,Quality newspapers/magazines,
nintendoeverything.com,,
aachener-nachrichten.de,Quality newspapers/magazines,
ticketmaster.eu,,
electrek.co,,
estadao.com.br,,
liveleak.com,,
aktuality.sk,,
oantagonista.com,,
pressreader.com,,
mynet.com,,
futurezone.de,,
tenor.com,,
char.gd,,
internethaber.com,,
blesk.cz,,
meinbdp.de,,
nanopress.it,,
ocdn.eu,,
ntv.de,commercial broadcaster,
kreiszeitung-wochenblatt.de,Quality newspapers/magazines,
reuters.tv,Online only media ,
szlz.de,quality newspapers/magazines,
lovelife.plus,,
anonymousnews.ru,A/P,
deutsche-wirtschafts-nachrichten.de,A/P,
ispo.com,,
echo24.de,Online only media ,
lokalo.de,,
smi2.ru,,
dortmund24.de,Online only media ,
vidmax.com,,
volksverpetzer.de,A/P,
bloomberg.com,Online only media ,
dpreview.com,,
iflscience.com,,
nrw-aktuell.tv,,
startmonitor.de,,
kaskad.tv,,
aptoide.com,,
cnbc.com,commercial broadcaster,
rockpapershotgun.com,,
npr.org,public broadcaster,
vigilance-meteo.fr,,
cammeteo.ru,,
goettinger-tageblatt.de,quality newspapers/magazines,
kulturnews.de,,
neuste.news,online only media ,
ninjajournalist.com,,
starswelt.com,,
a-beig.de,quality newspapers/magazines,
bams.de,tabloid newspaper ,
bsaktuell.de,online only media ,
innove-de.com,,
lisimg.com,,
mobilegeeks.de,,
pushingpixels.de,,
amrum-news.de,,
onet.pl,,
politikstube.com,A/P,
radarbox24.com,,
allesbeste.de,,
appdated.de,,
businessinsider.com,Online only media ,
fonfonfon.de,,
meduza.io,,
residentadvisor.net,,
wired.de,,
zerohedge.com,,
dailystar.co.uk,tabloid newspaper ,
mdforum.ru,,
michael-mannheimer.net,A/P,
naanoo.de,online only media ,
